TotalTime,Age,Gender,BreakfastToday,BreakfastUsually,HowHungry,TimeProposerInfo,TimeProposer,ProposedAmount,TimeResponderInfo,TimeResponder,TimeQ1,Q1,TimeQ2,Q2,TimeQ3,Q3,TimeQ4,Q4,TimeQ5,Q5,TimeQ6,Q6,TimeQ7,Q7,TimeQ8,Q8,QuestionsCorrect,LowestAcceptable,HighestAcceptable,UGFamiliar,QuestionsFamiliar,TotalQuestionTime,Condition,ProposerFirst,TotalProposerTime,TotalResponderTime,Cooperation,TotalCooperationTime,Condition.Name,TimeInfo
380,63,F,0,1,8,35.393,11.49,5,72.521,48.2,23.837,0,17.439,0,12.893,0,14.624,0,28.558,0,14.634,0,42.001,1,29.083,0,0.125,5,10,0,0,183.069,0,0,46.883,120.721,10,167.604,No Breakfast,107.914
1398,29,F,0,1,6,14.589,27.064,5.5,103.165,70.089,132.902,1,303.676,0,36.122,1,270.969,1,137.376,1,108.943,1,90.41,1,61.843,0,0.75,4,6,0,0,1142.241,0,0,41.653,173.254,9.5,214.907,No Breakfast,117.754
567,32,M,0,0,1,22.7,27.647,5,51.555,54.468,21.965,0,33.832,1,27.306,1,68.697,1,25.065,0,76.084,0,52.28,1,73.743,0,0.5,5,5,1,0,378.972,0,0,50.347,106.023,10,156.37,No Breakfast,74.255
551,23,M,1,1,1,35.083,12.572,5,48.833,103.749,33.102,1,34.609,0,28.223,1,55.959,1,48.817,1,45.961,1,32.827,1,31.853,0,0.75,4,10,0,1,311.351,1,0,47.655,152.582,9,200.237,Breakfast,83.916
1556,38,M,0,1,5,13.436,47.342,5,125.729,99.848,315.321,0,100.639,0,138.83,0,227.511,0,116.632,1,81.655,1,130.677,0,110.34,0,0.25,5,10,0,0,1221.605,1,0,60.778,225.577,10,286.355,Breakfast,139.165
626,28,F,0,1,10,24.738,45.963,4,43.734,75.772,37.423,0,26.67,1,128.119,0,66.49,0,21.862,1,53.934,1,30.128,0,41.332,0,0.375,4,10,0,0,405.958,1,0,70.701,119.506,8,190.207,Breakfast,68.472
1434,24,M,0,0,6,109.291,162.376,5,55.241,168.186,338.932,1,54.347,1,204.777,0,41.443,1,45.098,1,25.821,1,74.303,1,63.614,0,0.75,4,10,0,0,848.335,1,0,271.667,223.427,9,495.094,Breakfast,164.532
768,26,F,0,1,8,54.139,21.162,10,73.627,172.814,105.137,0,49.766,0,24.197,0,75.699,0,18.657,0,26.305,1,76.337,0,34.246,0,0.125,2,10,0,0,410.344,0,0,75.301,246.441,12,321.742,No Breakfast,127.766
736,22,M,0,0,4,9.47,53.316,4,80.886,171.534,41.898,1,62.921,1,42.322,1,29.657,1,14.815,1,39.4,1,74.254,1,59.19,1,1,4,10,0,0,364.457,1,0,62.786,252.42,8,315.206,Breakfast,90.356
401,25,M,1,1,4,19.927,14.356,5.5,10.758,40.221,30.504,0,34.759,0,33.077,0,68.55,1,26.784,0,37.898,1,41.222,0,17.951,0,0.25,5,10,0,0,290.745,1,0,34.283,50.979,10.5,85.262,Breakfast,30.685
1286,20,M,0,1,4,73.995,29.112,4.5,177.475,43.585,87.199,0,131.188,0,266.134,1,122.625,1,48.505,0,73.745,0,91.872,1,100.79,0,0.375,2,5,0,0,922.058,0,0,103.107,221.06,6.5,324.167,No Breakfast,251.47
718,38,F,0,1,9,26.593,24.53,5,76.62,100.363,141.296,0,117.44,0,24.486,0,13.879,0,13.605,0,18.204,0,54.618,0,79.638,0,0,4,6.5,0,0,463.166,0,0,51.123,176.983,9,228.106,No Breakfast,103.213
